阶段,周数,主要主题,关键学习目标,项目/里程碑,状态 (待填写),开始日期(待填写),完成日期 (待填写),备注 (待填写)
第一阶段：C++基石与量化数学 (0-6 个月),1-2,C++基础 (原W1),掌握变量、数据类型、控制流、函数、作用域。,完成所有基础语法练习（如计算器）。,,,,并行任务：开始LeetCode (每周2-3题 简单)
第一阶段：C++基石与量化数学 (0-6 个月),3-4,OOP核心 (原W2),深入理解类、对象、封装、构造/析构函数、this指针。,完成Shape项目：实现Shape基类和简单派生类。,,,,
第一阶段：C++基石与量化数学 (0-6 个月),5-6,OOP高级 (原W2),精通继承（公有/私有）、多态（虚函数、v-table原理）。,重构Shape项目，使用多态计算面积。,,,,
第一阶段：C++基石与量化数学 (0-6 个月),7-8,I/O与异常 (原W3-4),学习文件I/O流（<fstream>）的读写，掌握try-catch块和基本异常安全。,项目：完成日志库的基本文件写入功能。,,,,
第一阶段：C++基石与量化数学 (0-6 个月),9-10,模板 (原W4),掌握函数模板和类模板的编写，理解模板特化。,项目：将日志库的记录函数改为模板，支持不同数据类型。,,,,
第一阶段：C++基石与量化数学 (0-6 个月),11-12,(补充) 数学：线性代数 I,学习向量、矩阵、点积、叉积、矩阵乘法和转置。,完成教科书前几章的习题，为Eigen做理论准备。,,,,这是'Quant'的基础
第一阶段：C++基石与量化数学 (0-6 个月),13-14,(补充) 数学：线性代数 II,学习行列式、逆矩阵、线性方程组求解、特征值和特征向量。,完成线性代数的核心理论学习。,,,,
第一阶段：C++基石与量化数学 (0-6 个月),15-16,STL容器 (原W5-6),精通std::vector和std::array，理解其内部结构和性能。,使用std::vector重构之前的项目。,,,,
第一阶段：C++基石与量化数学 (0-6 个月),17-18,STL关联容器 (原W6),精通std::map、std::set、std::unordered_map，理解红黑树与哈希表。,项目：使用std::map实现一个简单的词频统计器。,,,,
第一阶段：C++基石与量化数学 (0-6 个月),19-20,STL算法与RAII (原W7),"熟练使用<algorithm>（std::sort, std::find等）。彻底掌握RAII范式。",项目：开始P1核心项目“限价订单簿(LOB)”。,,,,
第一阶段：C++基石与量化数学 (0-6 个月),21-22,智能指针 (原W7),精通std::unique_ptr、std::shared_ptr、std::move。,项目：在LOB中，使用智能指针管理订单对象。,,,,
第一阶段：C++基石与量化数学 (0-6 个月),23-24,现代C++与并发 (原W8),学习Lambda、auto。精通std::thread、std::mutex、std::lock_guard。,项目：为LOB添加线程安全保护。,,,,
第一阶段：C++基石与量化数学 (0-6 个月),25-26,(补充) 数学：概率论与统计 I,学习概率分布（正态、均匀）、期望、方差、中心极限定理。,为Boost.Random和蒙特卡洛做理论准备。,,,,
第二阶段：量化建模与工具 (6-12 个月),27-30,(补充) 金融理论 I,精读 John Hull《期权、期货及其他衍生品》 (前 1/3)。,目标：理解远期、期货、互换、期权基本概念、无套利定价。,,,,这是'Finance'的基础
第二阶段：C++基石与量化数学 (0-6 个月),31-34,(补充) 金融理论 II,精读 John Hull《期权、期货及其他衍生品》 (中 1/3)。,目标：精通二叉树模型、Black-Scholes-Merton模型、Greeks。,,,,
第二阶段：量化建模与工具 (6-12 个月),35-36,Boost C++ 库 (原W9-10),学习并实践Boost.Random，生成符合特定概率分布的随机数。,练习为蒙特卡洛方法生成正态分布随机数。,,,,
第二阶段：量化建模与工具 (6-12 个月),37-38,Boost C++ 库 (原W10),学习并实践Boost.Math Toolkit和Boost.Date-Time。,练习使用Boost库处理金融合约中复杂的日期计算。,,,,
第二阶段：量化建模与工具 (6-12 个月),39-40,Eigen 库 I (原W11),"掌握Eigen核心数据结构（Matrix, Vector）的创建、初始化和基本代数运算。",练习矩阵乘法、求逆、转置等操作。,,,,
第二阶段：量化建模与工具 (6-12 个月),41-42,Eigen 库 II (原W12),学习使用Eigen求解线性方程组和进行特征值分解。,项目：使用Eigen实现最小二乘法线性回归。,,,,
第二阶段：量化建模与工具 (6-12 个月),43-44,QuantLib 入门 (原W17-18),"成功编译和配置QuantLib。熟悉Date, Calendar, DayCounter。",项目：使用QuantLib构建收益率曲线。,,,,
